Annual Income,Number of Open Accounts,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Home Ownership_outlier,Annual Income_outlier,Annual Income_nan,Tax Liens_outlier,Number of Open Accounts_outlier,Bankruptcies_outlier,Years of Credit History_outlier,Maximum Open Credit_outlier,Current Loan Amount_outlier,Current Credit Balance_outlier,Monthly Debt_outlier,Credit Score_nan,Years in current job_nan,Years in current job_1 year,Years in current job_5 years,Years in current job_7 years,Years in current job_9 years,Tax Liens_1.0,Tax Liens_2.0,Bankruptcies_0.0,Bankruptcies_1.0,Bankruptcies_2.0,Purpose_business loan,Purpose_buy a car,Purpose_buy house,Purpose_debt consolidation,Purpose_educational expenses,Purpose_home improvements,Purpose_major purchase,Purpose_medical bills,Purpose_moving,Purpose_other,Purpose_small business,Purpose_take a trip,Purpose_vacation,Purpose_wedding,Term_Long Term,Term_Short Term,Home Mortgage,Own Home,Rent,CreditScoreTLB1,CreditScoreTBNT,AnIMoD,years_cat,Credit Default
682898.0,9.0,565664.0,0.0,10.0,175714.0,116755.0,2840.0,742.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,722.9917582417582,729.2101616628175,54068.16666666666,4,0
786353.0,9.0,160490.0,0.0,32.0,216788.0,126958.0,14482.0,702.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,722.9917582417582,729.2101616628175,51047.41666666666,1,1
1158354.0,11.0,225412.0,0.0,14.0,223542.0,153786.0,27028.0,730.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,722.4205202312139,729.2101616628175,69501.5,4,0
1168595.0,15.0,536998.0,0.0,32.0,450516.0,216581.0,17042.0,745.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,721.6996805111821,729.2101616628175,80340.91666666667,3,0
1168386.0,9.0,203390.0,0.0,32.0,21626.0,155458.0,6428.0,731.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,722.9917582417582,729.2101616628175,90937.5,2,0
1212029.0,18.0,118800.0,0.0,26.0,172722.0,90383.0,12524.0,733.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,719.9580419580419,729.2101616628175,88478.41666666667,3,1
3443598.0,13.0,542982.0,0.0,5.0,664554.0,336224.0,42471.0,710.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,721.2881720430107,704.9185228604924,244495.5,4,0
1168386.0,13.0,786896.0,0.0,32.0,665346.0,484557.0,16076.5,731.0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,721.2881720430107,704.9185228604924,81289.0,2,1
1312710.0,10.0,499444.0,0.0,32.0,347424.0,302366.0,22425.0,709.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,720.5843293492696,729.2101616628175,86967.5,2,0
883177.0,16.0,1222144.0,0.0,32.0,403612.0,284981.0,18252.0,745.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,723.1924528301887,729.2101616628175,55346.08333333333,3,1
1168386.0,3.0,764654.0,0.0,68.0,161898.0,244340.0,13044.0,744.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,720.9052631578948,729.2101616628175,84321.5,4,0
1395930.0,5.0,172546.0,0.0,60.0,75438.0,94335.0,8434.0,724.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,723.6461538461539,729.2101616628175,107893.5,2,0
1168386.0,20.0,1811920.0,0.0,32.0,497354.0,317661.0,28349.0,731.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,720.1397849462365,729.2101616628175,69016.5,4,1
757872.0,12.0,519838.0,0.0,32.0,120670.0,138282.0,16105.0,732.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,723.144128113879,729.2101616628175,47051.0,2,0
665266.0,6.0,650914.0,0.0,32.0,264110.0,323798.0,8798.0,744.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,724.3789682539683,729.2101616628175,46640.833333333336,3,0
799596.0,4.0,200310.0,0.0,32.0,180334.0,118845.0,16076.5,671.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,720.0188679245283,729.2101616628175,50556.5,2,1
1036963.0,9.0,266156.0,1.0,37.0,176836.0,119985.0,13567.0,746.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,722.9917582417582,725.7162872154115,72846.58333333333,3,0
1168386.0,9.0,1461834.0,0.0,32.0,443872.0,435556.0,7535.0,731.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,722.9917582417582,729.2101616628175,89830.5,3,0
1168386.0,21.0,1714966.0,0.0,4.0,695068.0,503576.0,16076.5,731.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,724.3589743589744,729.2101616628175,81289.0,4,1
1168386.0,19.0,776116.0,0.0,17.0,487234.0,594529.0,23012.0,731.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,723.1223021582733,729.2101616628175,74353.5,3,1
2177780.0,14.0,598114.0,0.0,32.0,608674.0,388949.0,21415.0,667.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,721.302380952381,704.9185228604924,160066.66666666666,3,0
2232120.0,10.0,1372162.0,0.0,11.0,613844.0,538023.0,16076.5,678.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,720.5843293492696,704.9185228604924,169933.5,3,0
848369.0,10.0,564784.0,1.0,21.0,321486.0,225834.0,7918.0,734.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,720.5843293492696,725.7162872154115,62779.41666666667,2,0
731101.0,10.0,1041524.0,0.0,10.0,178222.0,225777.0,16145.0,742.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,720.5843293492696,729.2101616628175,44780.083333333336,4,0
1168386.0,8.0,847242.0,0.0,15.0,772310.0,595612.0,16076.5,731.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,723.6175548589341,704.9185228604924,81289.0,2,1
779893.0,6.0,141856.0,0.0,32.0,85998.0,67393.0,3951.0,726.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,724.3789682539683,729.2101616628175,61040.083333333336,2,0
631731.0,8.0,356972.0,1.0,32.0,258170.0,183122.0,12371.0,724.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,723.6175548589341,701.245508982036,40273.25,4,0
1168386.0,16.0,458898.0,0.0,73.0,516956.0,315856.0,40058.0,731.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,723.1924528301887,704.9185228604924,57307.5,3,1
1168386.0,13.0,448690.0,1.0,32.0,315700.0,277077.0,11490.0,731.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,721.2881720430107,725.7162872154115,85875.5,4,1
1867966.0,13.0,563574.0,0.0,32.0,309573.0,234593.0,23349.0,745.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,721.2881720430107,729.2101616628175,132314.83333333334,2,0
775105.0,8.0,221298.0,0.0,43.0,32846.0,92131.0,14985.0,740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,723.6175548589341,729.2101616628175,49607.083333333336,3,1
1168386.0,15.0,709830.0,0.0,32.0,778624.0,553584.0,43501.0,731.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,721.6996805111821,704.9185228604924,53864.5,4,0
